127.0.0.1, 2015-12-02 13:28:36, GET, /GroupOrder/default/index, HTTP/1.1, 200, 0.053055
127.0.0.1, 2015-12-02 13:28:36, GET, /GroupOrder/static/fonts/glyphicons-halflings-regular.woff, HTTP/1.1, 304, 0.000873
127.0.0.1, 2015-12-02 13:28:36, POST, /GroupOrder/default/load_messages, HTTP/1.1, 200, 0.045410
127.0.0.1, 2015-12-02 14:09:09, GET, /GroupOrder/default/index, HTTP/1.1, 200, 0.049335
127.0.0.1, 2015-12-02 14:09:09, GET, /GroupOrder/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000518
127.0.0.1, 2015-12-02 14:09:09, GET, /GroupOrder/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.001985
127.0.0.1, 2015-12-02 14:09:09, GET, /GroupOrder/static/font-awesome-4.4.0/css/font-awesome.min.css, HTTP/1.1, 304, 0.002310
127.0.0.1, 2015-12-02 14:09:09, GET, /GroupOrder/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.000592
127.0.0.1, 2015-12-02 14:09:09, GET, /GroupOrder/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000699
127.0.0.1, 2015-12-02 14:09:09, GET, /GroupOrder/static/css/myapp.css, HTTP/1.1, 304, 0.000452
127.0.0.1, 2015-12-02 14:09:09, GET, /GroupOrder/static/css/calendar.css, HTTP/1.1, 304, 0.001786
127.0.0.1, 2015-12-02 14:09:09, GET, /GroupOrder/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000508
127.0.0.1, 2015-12-02 14:09:09, GET, /GroupOrder/static/js/calendar.js, HTTP/1.1, 304, 0.002379
127.0.0.1, 2015-12-02 14:09:09, GET, /GroupOrder/static/js/share.js, HTTP/1.1, 304, 0.002189
127.0.0.1, 2015-12-02 14:09:09, GET, /GroupOrder/static/js/jquery.js, HTTP/1.1, 304, 0.001268
127.0.0.1, 2015-12-02 14:09:09, GET, /GroupOrder/static/js/web2py.js, HTTP/1.1, 304, 0.001130
127.0.0.1, 2015-12-02 14:09:09, GET, /GroupOrder/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000660
127.0.0.1, 2015-12-02 14:09:09, GET, /GroupOrder/static/images/facebook.png, HTTP/1.1, 304, 0.000581
127.0.0.1, 2015-12-02 14:09:09, GET, /GroupOrder/static/images/gplus-32.png, HTTP/1.1, 304, 0.000682
127.0.0.1, 2015-12-02 14:09:09, GET, /GroupOrder/static/images/twitter.png, HTTP/1.1, 304, 0.001183
127.0.0.1, 2015-12-02 14:09:09, GET, /GroupOrder/static/font-awesome-4.4.0/fonts/fontawesome-webfont.woff, HTTP/1.1, 304, 0.002410
127.0.0.1, 2015-12-02 14:09:09, POST, /GroupOrder/default/load_messages, HTTP/1.1, 200, 0.054360
127.0.0.1, 2015-12-02 14:22:38, GET, /GroupOrder/default/index, HTTP/1.1, 200, 0.070993
127.0.0.1, 2015-12-02 14:22:38, GET, /GroupOrder/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000657
127.0.0.1, 2015-12-02 14:22:38, GET, /GroupOrder/static/font-awesome-4.4.0/css/font-awesome.min.css, HTTP/1.1, 304, 0.001932
127.0.0.1, 2015-12-02 14:22:38, GET, /GroupOrder/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.001049
127.0.0.1, 2015-12-02 14:22:38, GET, /GroupOrder/static/css/calendar.css, HTTP/1.1, 304, 0.002586
127.0.0.1, 2015-12-02 14:22:38, GET, /GroupOrder/static/css/myapp.css, HTTP/1.1, 304, 0.001819
127.0.0.1, 2015-12-02 14:22:38, GET, /GroupOrder/static/js/calendar.js, HTTP/1.1, 304, 0.000932
127.0.0.1, 2015-12-02 14:22:38, GET, /GroupOrder/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001967
127.0.0.1, 2015-12-02 14:22:38, GET, /GroupOrder/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.006287
127.0.0.1, 2015-12-02 14:22:38, GET, /GroupOrder/static/js/jquery.js, HTTP/1.1, 304, 0.000749
127.0.0.1, 2015-12-02 14:22:38, GET, /GroupOrder/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.001044
127.0.0.1, 2015-12-02 14:22:38, GET, /GroupOrder/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.001394
127.0.0.1, 2015-12-02 14:22:38, GET, /GroupOrder/static/js/web2py.js, HTTP/1.1, 304, 0.001701
127.0.0.1, 2015-12-02 14:22:38, GET, /GroupOrder/static/js/share.js, HTTP/1.1, 304, 0.000836
127.0.0.1, 2015-12-02 14:22:38, GET, /GroupOrder/static/images/facebook.png, HTTP/1.1, 304, 0.006384
127.0.0.1, 2015-12-02 14:22:38, GET, /GroupOrder/static/images/gplus-32.png, HTTP/1.1, 304, 0.001509
127.0.0.1, 2015-12-02 14:22:38, GET, /GroupOrder/static/images/twitter.png, HTTP/1.1, 304, 0.000450
127.0.0.1, 2015-12-02 14:22:38, GET, /GroupOrder/static/fonts/glyphicons-halflings-regular.woff, HTTP/1.1, 304, 0.000880
127.0.0.1, 2015-12-02 14:22:38, GET, /GroupOrder/static/font-awesome-4.4.0/fonts/fontawesome-webfont.woff, HTTP/1.1, 304, 0.001717
127.0.0.1, 2015-12-02 14:22:38, POST, /GroupOrder/default/load_messages, HTTP/1.1, 200, 0.049666
127.0.0.1, 2015-12-02 14:24:16, POST, /GroupOrder/default/add_msg, HTTP/1.1, 200, 0.044292
127.0.0.1, 2015-12-02 14:24:17, GET, /GroupOrder/default/index, HTTP/1.1, 200, 0.042860
127.0.0.1, 2015-12-02 14:24:17, GET, /GroupOrder/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000539
